index,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,search_term,radius_size_km,lat_long,area_block,country
0,OPERATIONAL,"{'location': {'lat': 52.5204606, 'lng': 13.3885857}, 'viewport': {'northeast': {'lat': 52.52186642989273, 'lng': 13.38974802989272}, 'southwest': {'lat': 52.51916677010728, 'lng': 13.38704837010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,REWE,{'open_now': True},"[{'height': 2903, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108564775745102090173"">Xiaoqiu QIU</a>'], 'photo_reference': 'Aap_uECRgkEnPIchjbL6yC50KCqhmnSvWLfJSPGUh6wf1UWNXPC9BXZ-O-mBi_m8F7RkWa3BJfqo7OoifynukZ8nOUOlMVpcpMYPY6e-2zXF6n6mQ1Ynj-K85LUsnhca6oP5dPksr5C1G188qFtwVwpfASZrBlpGytgww1mfeIc9TWxaFZU', 'width': 3871}]",ChIJeZ0RHcNRqEcRZfunLIjlWuY,"{'compound_code': 'G9CQ+5C Berlin', 'global_code': '9F4MG9CQ+5C'}",4.0,ChIJeZ0RHcNRqEcRZfunLIjlWuY,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",1176.0,"Friedrichstraße 100, Berlin",supermarkt,0.07,"52.523294945572125, 13.384972056467369",Berlin-Mitte,Germany
1,OPERATIONAL,"{'location': {'lat': 52.5235687, 'lng': 13.3872835}, 'viewport': {'northeast': {'lat': 52.52492847989272, 'lng': 13.38880992989272}, 'southwest': {'lat': 52.52222882010728, 'lng': 13.38611027010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Mulberry Company GmbH,,,ChIJzR4t2elRqEcRuMe39m20PEE,"{'compound_code': 'G9FP+CW Berlin', 'global_code': '9F4MG9FP+CW'}",0.0,ChIJzR4t2elRqEcRuMe39m20PEE,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",0.0,"Friedrichstraße 133, Berlin",supermarkt,0.07,"52.523294945572125, 13.384972056467369",Berlin-Mitte,Germany
0,OPERATIONAL,"{'location': {'lat': 52.5204606, 'lng': 13.3885857}, 'viewport': {'northeast': {'lat': 52.52186642989273, 'lng': 13.38974802989272}, 'southwest': {'lat': 52.51916677010728, 'lng': 13.38704837010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,REWE,{'open_now': True},"[{'height': 2903, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108564775745102090173"">Xiaoqiu QIU</a>'], 'photo_reference': 'Aap_uECLnpqTnkLS8RPH7AyX1S9jrgqTyDjGrGZRGf6L9oHy7xtIt0YJvWWq1eoTwJdI465nYpp25n_qfLTyD661orL7jNDKMj0ru0LANSG9YaK8wj9UQw19aB0XSxbYWdnyqECxuYSPJzAXnR35q984rNrUvMmv5lir-2kKJab9KEUag-0', 'width': 3871}]",ChIJeZ0RHcNRqEcRZfunLIjlWuY,"{'compound_code': 'G9CQ+5C Berlin', 'global_code': '9F4MG9CQ+5C'}",4.0,ChIJeZ0RHcNRqEcRZfunLIjlWuY,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",1176.0,"Friedrichstraße 100, Berlin",supermarkt,0.07,"52.523294945572125, 13.387034691785908",Berlin-Mitte,Germany
1,OPERATIONAL,"{'location': {'lat': 52.5235687, 'lng': 13.3872835}, 'viewport': {'northeast': {'lat': 52.52492847989272, 'lng': 13.38880992989272}, 'southwest': {'lat': 52.52222882010728, 'lng': 13.38611027010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Mulberry Company GmbH,,,ChIJzR4t2elRqEcRuMe39m20PEE,"{'compound_code': 'G9FP+CW Berlin', 'global_code': '9F4MG9FP+CW'}",0.0,ChIJzR4t2elRqEcRuMe39m20PEE,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",0.0,"Friedrichstraße 133, Berlin",supermarkt,0.07,"52.523294945572125, 13.387034691785908",Berlin-Mitte,Germany
2,OPERATIONAL,"{'location': {'lat': 52.5228256, 'lng': 13.3875301}, 'viewport': {'northeast': {'lat': 52.52422907989272, 'lng': 13.38898762989272}, 'southwest': {'lat': 52.52152942010728, 'lng': 13.38628797010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,BIO COMPANY Friedrichstraße,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105000430589858068168"">Talib Addawood</a>'], 'photo_reference': 'Aap_uEDx_zUAktomlKhUJRhC6mRc7HNT0qLRQaxcJp72wUq_ktZY49xp_U0dlpMmNpF_V3CPWARdw3ULshD8WdXTLh4s7Qwn_glW_Z6OsFQKwGsAREMzG19fA8O-L7eQbH6bhLsyVaQ20btTSzjEHQQgVkQvPr6s3Lb-JwxwrG7Mf8oqAAb8', 'width': 4608}]",ChIJoxBcesJRqEcRuL0eD52W6Ow,"{'compound_code': 'G9FQ+42 Berlin', 'global_code': '9F4MG9FQ+42'}",3.8,ChIJoxBcesJRqEcRuL0eD52W6Ow,GOOGLE,"['bakery', 'supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.0,"Friedrichstraße 136, Berlin",supermarkt,0.07,"52.523294945572125, 13.387034691785908",Berlin-Mitte,Germany
0,OPERATIONAL,"{'location': {'lat': 52.5204606, 'lng': 13.3885857}, 'viewport': {'northeast': {'lat': 52.52186642989273, 'lng': 13.38974802989272}, 'southwest': {'lat': 52.51916677010728, 'lng': 13.38704837010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,REWE,{'open_now': True},"[{'height': 2903, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108564775745102090173"">Xiaoqiu QIU</a>'], 'photo_reference': 'Aap_uEBmdbgYrPtZnm9QgMWSZqTnkhHep4QxOmfB6UehPyFTOnTRpQZK5anC5Y3SDJr6eqKKqHWksYXMmKXXucUpxXl7xkc68EOZGE8S7T009UmUhwbQMIkxnS8Xd1C8pGsjQDVHMX8CPQXhKqr4rUEX9MqHa5Ze_-KkjWk1moUA5R2l3SU', 'width': 3871}]",ChIJeZ0RHcNRqEcRZfunLIjlWuY,"{'compound_code': 'G9CQ+5C Berlin', 'global_code': '9F4MG9CQ+5C'}",4.0,ChIJeZ0RHcNRqEcRZfunLIjlWuY,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",1176.0,"Friedrichstraße 100, Berlin",supermarkt,0.07,"52.523294945572125, 13.389097327104448",Berlin-Mitte,Germany
1,OPERATIONAL,"{'location': {'lat': 52.5228256, 'lng': 13.3875301}, 'viewport': {'northeast': {'lat': 52.52422907989272, 'lng': 13.38898762989272}, 'southwest': {'lat': 52.52152942010728, 'lng': 13.38628797010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,BIO COMPANY Friedrichstraße,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105000430589858068168"">Talib Addawood</a>'], 'photo_reference': 'Aap_uECuv_NqsThgzmq24-GYAH2EndwmrSuNSWWu-AKvdDZu3CAFq9vF1hJMLU9KLMEz7zpfZMAeTeLtWLVgSiO9_5ORbQSB3b-q2cGIQuH1F2eHNFb7rah52yphs2gOqEdZsMeaYIgw0KXFkKj1l0IefWPaZ-wib5nFm6usemlyDF_xLKVK', 'width': 4608}]",ChIJoxBcesJRqEcRuL0eD52W6Ow,"{'compound_code': 'G9FQ+42 Berlin', 'global_code': '9F4MG9FQ+42'}",3.8,ChIJoxBcesJRqEcRuL0eD52W6Ow,GOOGLE,"['bakery', 'supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",41.0,"Friedrichstraße 136, Berlin",supermarkt,0.07,"52.523294945572125, 13.389097327104448",Berlin-Mitte,Germany
2,OPERATIONAL,"{'location': {'lat': 52.5235687, 'lng': 13.3872835}, 'viewport': {'northeast': {'lat': 52.52492847989272, 'lng': 13.38880992989272}, 'southwest': {'lat': 52.52222882010728, 'lng': 13.38611027010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Mulberry Company GmbH,,,ChIJzR4t2elRqEcRuMe39m20PEE,"{'compound_code': 'G9FP+CW Berlin', 'global_code': '9F4MG9FP+CW'}",0.0,ChIJzR4t2elRqEcRuMe39m20PEE,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",0.0,"Friedrichstraße 133, Berlin",supermarkt,0.07,"52.523294945572125, 13.389097327104448",Berlin-Mitte,Germany
0,OPERATIONAL,"{'location': {'lat': 52.5204606, 'lng': 13.3885857}, 'viewport': {'northeast': {'lat': 52.52186642989273, 'lng': 13.38974802989272}, 'southwest': {'lat': 52.51916677010728, 'lng': 13.38704837010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,REWE,{'open_now': True},"[{'height': 2903, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108564775745102090173"">Xiaoqiu QIU</a>'], 'photo_reference': 'Aap_uEAezYN0HbDb1IWTZJ8GXaO-mMAs7asmkAIWIPgNKpmXb2dTROnIAH_Egm8zjM2Zd7RWkuDnX6HAXhFaOVeDl5gTpeLLQSJ5lc_X0nOMP8oGsEhGzbAcrWbe6UJND1p-3ywQckXiUQRuPHPqbGfuucRWkIsF-5GixXu0EV6tUmuYufU', 'width': 3871}]",ChIJeZ0RHcNRqEcRZfunLIjlWuY,"{'compound_code': 'G9CQ+5C Berlin', 'global_code': '9F4MG9CQ+5C'}",4.0,ChIJeZ0RHcNRqEcRZfunLIjlWuY,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",1176.0,"Friedrichstraße 100, Berlin",supermarkt,0.07,"52.523294945572125, 13.391159962422988",Berlin-Mitte,Germany
0,OPERATIONAL,"{'location': {'lat': 52.5204606, 'lng': 13.3885857}, 'viewport': {'northeast': {'lat': 52.52186642989273, 'lng': 13.38974802989272}, 'southwest': {'lat': 52.51916677010728, 'lng': 13.38704837010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,REWE,{'open_now': True},"[{'height': 2903, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108564775745102090173"">Xiaoqiu QIU</a>'], 'photo_reference': 'Aap_uEBRZ-2ewemyWnxrJ5asvjv0LT6OufpWWolb0XmXprOTKaLOGzM0BKGSzbxxliwfew90XRmmpC5Lr12QvKSxRwYSjzixPo_FahG4knLVVQS4wVhcRnR3YC4VJ4if6yvRnMtJUOu0xnLW5o74uRdswGnJ3O2QVQjiDvp5gLRu0kmSqDg', 'width': 3871}]",ChIJeZ0RHcNRqEcRZfunLIjlWuY,"{'compound_code': 'G9CQ+5C Berlin', 'global_code': '9F4MG9CQ+5C'}",4.0,ChIJeZ0RHcNRqEcRZfunLIjlWuY,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",1176.0,"Friedrichstraße 100, Berlin",supermarkt,0.07,"52.523294945572125, 13.393222597741527",Berlin-Mitte,Germany
